PID B A C T W
1 17 0 17 17 0
2 15 1 32 31 16
3 4 7 36 29 25
4 7 11 43 32 25
5 20 18 63 45 25
6 8 20 71 51 43
7 18 26 89 63 45
8 20 35 109 74 54
9 19 43 128 85 66
10 18 48 146 98 80
11 2 54 148 94 92
12 18 62 166 104 86
13 9 72 175 103 94
14 17 77 192 115 98
15 11 87 203 116 105
16 10 97 213 116 106
17 15 102 228 126 111
18 5 103 233 130 125
19 17 111 250 139 122
20 12 118 262 144 132
21 5 122 267 145 140
22 9 130 276 146 137
23 4 135 280 145 141
24 7 141 287 146 139
25 10 150 297 147 137
26 3 156 300 144 141
27 20 161 320 159 139
28 6 171 326 155 149
29 14 177 340 163 149
30 4 182 344 162 158
31 1 184 345 161 160
32 3 192 348 156 153
33 2 197 350 153 151
34 13 200 363 163 150
35 2 205 365 160 158
36 17 214 382 168 151
37 3 216 385 169 166
38 15 220 400 180 165
39 17 222 417 195 178
40 3 232 420 188 185
41 5 238 425 187 182
42 17 239 442 203 186
43 9 246 451 205 196
44 19 250 470 220 201
45 5 258 475 217 212
46 4 264 479 215 211
47 1 268 480 212 211
48 15 275 495 220 205
49 8 277 503 226 218
50 4 280 507 227 223
51 16 282 523 241 225
52 1 287 524 237 236
53 4 291 528 237 233
54 9 292 537 245 236
55 3 294 540 246 243
56 14 299 554 255 241
57 3 300 557 257 254
58 13 303 570 267 254
59 16 307 586 279 263
60 9 308 595 287 278
61 4 309 599 290 286
62 3 315 602 287 284
63 12 318 614 296 284
64 9 320 623 303 294
65 14 323 637 314 300
66 2 325 639 314 312
67 3 327 642 315 312
68 20 333 662 329 309
69 10 338 672 334 324
70 4 339 676 337 333
71 19 340 695 355 336
72 5 345 700 355 350
73 11 349 711 362 351
74 6 350 717 367 361
75 19 351 736 385 366
76 11 360 747 387 376
77 3 363 750 387 384
78 5 370 755 385 380
79 13 375 768 393 380
80 10 381 778 397 387
81 8 383 786 403 395
82 12 385 798 413 401
83 2 389 800 411 409
84 5 396 805 409 404
85 6 400 811 411 405
86 19 402 830 428 409
87 12 412 842 430 418
88 4 421 846 425 421
89 20 428 866 438 418
90 1 430 867 437 436
91 20 435 887 452 432
92 7 442 894 452 445
93 5 443 899 456 451
94 19 450 918 468 449
95 11 456 929 473 462
96 5 462 934 472 467
97 20 466 954 488 468
98 20 467 974 507 487
99 12 469 986 517 505
100 12 479 998 519 507
101 11 481 1009 528 517
102 2 490 1011 521 519
103 16 500 1027 527 511
104 20 507 1047 540 520
105 18 517 1065 548 530
106 11 521 1076 555 544
107 7 523 1083 560 553
108 7 533 1090 557 550
109 14 537 1104 567 553
110 7 541 1111 570 563
111 3 543 1114 571 568
112 15 544 1129 585 570
113 2 547 1131 584 582
114 3 552 1134 582 579
115 2 553 1136 583 581
116 7 561 1143 582 575
117 18 562 1161 599 581
118 20 568 1181 613 593
119 2 570 1183 613 611
120 18 577 1201 624 606
121 19 583 1220 637 618
122 9 591 1229 638 629
123 12 601 1241 640 628
124 10 603 1251 648 638
125 11 610 1262 652 641
126 18 620 1280 660 642
127 2 623 1282 659 657
128 10 628 1292 664 654
129 3 630 1295 665 662
130 16 637 1311 674 658
131 14 647 1325 678 664
132 13 651 1338 687 674
133 19 659 1357 698 679
134 7 665 1364 699 692
135 7 670 1371 701 694
136 4 676 1375 699 695
137 9 677 1384 707 698
138 19 684 1403 719 700
139 7 690 1410 720 713
140 14 694 1424 730 716
141 6 700 1430 730 724
142 4 701 1434 733 729
143 13 707 1447 740 727
144 12 708 1459 751 739
145 11 718 1470 752 741
146 2 727 1472 745 743
147 1 734 1473 739 738
148 10 744 1483 739 729
149 15 753 1498 745 730
150 18 762 1516 754 736
151 4 769 1520 751 747
152 9 779 1529 750 741
153 7 789 1536 747 740
154 10 798 1546 748 738
155 8 801 1554 753 745
156 20 811 1574 763 743
157 4 817 1578 761 757
158 14 823 1592 769 755
159 1 830 1593 763 762
160 8 836 1601 765 757
161 12 845 1613 768 756
162 14 850 1627 777 763
163 3 854 1630 776 773
164 5 864 1635 771 766
165 9 874 1644 770 761
166 4 881 1648 767 763
167 14 887 1662 775 761
168 4 894 1666 772 768
169 9 904 1675 771 762
170 8 913 1683 770 762
171 14 923 1697 774 760
172 8 928 1705 777 769
173 18 932 1723 791 773
174 15 942 1738 796 781
175 7 950 1745 795 788
176 2 955 1747 792 790
177 11 964 1758 794 783
178 11 973 1769 796 785
179 13 975 1782 807 794
180 3 979 1785 806 803
181 4 985 1789 804 800
182 13 986 1802 816 803
183 13 989 1815 826 813
184 10 992 1825 833 823
185 1 995 1826 831 830
186 17 998 1843 845 828
187 18 1002 1861 859 841
188 10 1005 1871 866 856
189 17 1010 1888 878 861
190 14 1012 1902 890 876
191 3 1014 1905 891 888
192 3 1016 1908 892 889
193 9 1025 1917 892 883
194 20 1026 1937 911 891
195 14 1028 1951 923 909
196 5 1030 1956 926 921
197 11 1038 1967 929 918
198 10 1042 1977 935 925
199 7 1043 1984 941 934
200 5 1049 1989 940 935
