      I      B      A      C      T      W
      0     17      0   17.0   17.0    0.0
      1     15      1   32.0   31.0   16.0
      2      4      7   36.0   29.0   25.0
      3      7     11   43.0   32.0   25.0
      4     20     18   63.0   45.0   25.0
      5      8     20   71.0   51.0   43.0
      6     18     26   89.0   63.0   45.0
      7     20     35  109.0   74.0   54.0
      8     19     43  128.0   85.0   66.0
      9     18     48  146.0   98.0   80.0
     10      2     54  148.0   94.0   92.0
     11     18     62  166.0  104.0   86.0
     12      9     72  175.0  103.0   94.0
     13     17     77  192.0  115.0   98.0
     14     11     87  203.0  116.0  105.0
     15     10     97  213.0  116.0  106.0
     16     15    102  228.0  126.0  111.0
     17      5    103  233.0  130.0  125.0
     18     17    111  250.0  139.0  122.0
     19     12    118  262.0  144.0  132.0
     20      5    122  267.0  145.0  140.0
     21      9    130  276.0  146.0  137.0
     22      4    135  280.0  145.0  141.0
     23      7    141  287.0  146.0  139.0
     24     10    150  297.0  147.0  137.0
     25      3    156  300.0  144.0  141.0
     26     20    161  320.0  159.0  139.0
     27      6    171  326.0  155.0  149.0
     28     14    177  340.0  163.0  149.0
     29      4    182  344.0  162.0  158.0
     30      1    184  345.0  161.0  160.0
     31      3    192  348.0  156.0  153.0
     32      2    197  350.0  153.0  151.0
     33     13    200  363.0  163.0  150.0
     34      2    205  365.0  160.0  158.0
     35     17    214  382.0  168.0  151.0
     36      3    216  385.0  169.0  166.0
     37     15    220  400.0  180.0  165.0
     38     17    222  417.0  195.0  178.0
     39      3    232  420.0  188.0  185.0
     40      5    238  425.0  187.0  182.0
     41     17    239  442.0  203.0  186.0
     42      9    246  451.0  205.0  196.0
     43     19    250  470.0  220.0  201.0
     44      5    258  475.0  217.0  212.0
     45      4    264  479.0  215.0  211.0
     46      1    268  480.0  212.0  211.0
     47     15    275  495.0  220.0  205.0
     48      8    277  503.0  226.0  218.0
     49      4    280  507.0  227.0  223.0
     50     16    282  523.0  241.0  225.0
     51      1    287  524.0  237.0  236.0
     52      4    291  528.0  237.0  233.0
     53      9    292  537.0  245.0  236.0
     54      3    294  540.0  246.0  243.0
     55     14    299  554.0  255.0  241.0
     56      3    300  557.0  257.0  254.0
     57     13    303  570.0  267.0  254.0
     58     16    307  586.0  279.0  263.0
     59      9    308  595.0  287.0  278.0
     60      4    309  599.0  290.0  286.0
     61      3    315  602.0  287.0  284.0
     62     12    318  614.0  296.0  284.0
     63      9    320  623.0  303.0  294.0
     64     14    323  637.0  314.0  300.0
     65      2    325  639.0  314.0  312.0
     66      3    327  642.0  315.0  312.0
     67     20    333  662.0  329.0  309.0
     68     10    338  672.0  334.0  324.0
     69      4    339  676.0  337.0  333.0
     70     19    340  695.0  355.0  336.0
     71      5    345  700.0  355.0  350.0
     72     11    349  711.0  362.0  351.0
     73      6    350  717.0  367.0  361.0
     74     19    351  736.0  385.0  366.0
     75     11    360  747.0  387.0  376.0
     76      3    363  750.0  387.0  384.0
     77      5    370  755.0  385.0  380.0
     78     13    375  768.0  393.0  380.0
     79     10    381  778.0  397.0  387.0
     80      8    383  786.0  403.0  395.0
     81     12    385  798.0  413.0  401.0
     82      2    389  800.0  411.0  409.0
     83      5    396  805.0  409.0  404.0
     84      6    400  811.0  411.0  405.0
     85     19    402  830.0  428.0  409.0
     86     12    412  842.0  430.0  418.0
     87      4    421  846.0  425.0  421.0
     88     20    428  866.0  438.0  418.0
     89      1    430  867.0  437.0  436.0
     90     20    435  887.0  452.0  432.0
     91      7    442  894.0  452.0  445.0
     92      5    443  899.0  456.0  451.0
     93     19    450  918.0  468.0  449.0
     94     11    456  929.0  473.0  462.0
     95      5    462  934.0  472.0  467.0
     96     20    466  954.0  488.0  468.0
     97     20    467  974.0  507.0  487.0
     98     12    469  986.0  517.0  505.0
     99     12    479  998.0  519.0  507.0
    100     11    481 1009.0  528.0  517.0
    101      2    490 1011.0  521.0  519.0
    102     16    500 1027.0  527.0  511.0
    103     20    507 1047.0  540.0  520.0
    104     18    517 1065.0  548.0  530.0
    105     11    521 1076.0  555.0  544.0
    106      7    523 1083.0  560.0  553.0
    107      7    533 1090.0  557.0  550.0
    108     14    537 1104.0  567.0  553.0
    109      7    541 1111.0  570.0  563.0
    110      3    543 1114.0  571.0  568.0
    111     15    544 1129.0  585.0  570.0
    112      2    547 1131.0  584.0  582.0
    113      3    552 1134.0  582.0  579.0
    114      2    553 1136.0  583.0  581.0
    115      7    561 1143.0  582.0  575.0
    116     18    562 1161.0  599.0  581.0
    117     20    568 1181.0  613.0  593.0
    118      2    570 1183.0  613.0  611.0
    119     18    577 1201.0  624.0  606.0
    120     19    583 1220.0  637.0  618.0
    121      9    591 1229.0  638.0  629.0
    122     12    601 1241.0  640.0  628.0
    123     10    603 1251.0  648.0  638.0
    124     11    610 1262.0  652.0  641.0
    125     18    620 1280.0  660.0  642.0
    126      2    623 1282.0  659.0  657.0
    127     10    628 1292.0  664.0  654.0
    128      3    630 1295.0  665.0  662.0
    129     16    637 1311.0  674.0  658.0
    130     14    647 1325.0  678.0  664.0
    131     13    651 1338.0  687.0  674.0
    132     19    659 1357.0  698.0  679.0
    133      7    665 1364.0  699.0  692.0
    134      7    670 1371.0  701.0  694.0
    135      4    676 1375.0  699.0  695.0
    136      9    677 1384.0  707.0  698.0
    137     19    684 1403.0  719.0  700.0
    138      7    690 1410.0  720.0  713.0
    139     14    694 1424.0  730.0  716.0
    140      6    700 1430.0  730.0  724.0
    141      4    701 1434.0  733.0  729.0
    142     13    707 1447.0  740.0  727.0
    143     12    708 1459.0  751.0  739.0
    144     11    718 1470.0  752.0  741.0
    145      2    727 1472.0  745.0  743.0
    146      1    734 1473.0  739.0  738.0
    147     10    744 1483.0  739.0  729.0
    148     15    753 1498.0  745.0  730.0
    149     18    762 1516.0  754.0  736.0
    150      4    769 1520.0  751.0  747.0
    151      9    779 1529.0  750.0  741.0
    152      7    789 1536.0  747.0  740.0
    153     10    798 1546.0  748.0  738.0
    154      8    801 1554.0  753.0  745.0
    155     20    811 1574.0  763.0  743.0
    156      4    817 1578.0  761.0  757.0
    157     14    823 1592.0  769.0  755.0
    158      1    830 1593.0  763.0  762.0
    159      8    836 1601.0  765.0  757.0
    160     12    845 1613.0  768.0  756.0
    161     14    850 1627.0  777.0  763.0
    162      3    854 1630.0  776.0  773.0
    163      5    864 1635.0  771.0  766.0
    164      9    874 1644.0  770.0  761.0
    165      4    881 1648.0  767.0  763.0
    166     14    887 1662.0  775.0  761.0
    167      4    894 1666.0  772.0  768.0
    168      9    904 1675.0  771.0  762.0
    169      8    913 1683.0  770.0  762.0
    170     14    923 1697.0  774.0  760.0
    171      8    928 1705.0  777.0  769.0
    172     18    932 1723.0  791.0  773.0
    173     15    942 1738.0  796.0  781.0
    174      7    950 1745.0  795.0  788.0
    175      2    955 1747.0  792.0  790.0
    176     11    964 1758.0  794.0  783.0
    177     11    973 1769.0  796.0  785.0
    178     13    975 1782.0  807.0  794.0
    179      3    979 1785.0  806.0  803.0
    180      4    985 1789.0  804.0  800.0
    181     13    986 1802.0  816.0  803.0
    182     13    989 1815.0  826.0  813.0
    183     10    992 1825.0  833.0  823.0
    184      1    995 1826.0  831.0  830.0
    185     17    998 1843.0  845.0  828.0
    186     18   1002 1861.0  859.0  841.0
    187     10   1005 1871.0  866.0  856.0
    188     17   1010 1888.0  878.0  861.0
    189     14   1012 1902.0  890.0  876.0
    190      3   1014 1905.0  891.0  888.0
    191      3   1016 1908.0  892.0  889.0
    192      9   1025 1917.0  892.0  883.0
    193     20   1026 1937.0  911.0  891.0
    194     14   1028 1951.0  923.0  909.0
    195      5   1030 1956.0  926.0  921.0
    196     11   1038 1967.0  929.0  918.0
    197     10   1042 1977.0  935.0  925.0
    198      7   1043 1984.0  941.0  934.0
    199      5   1049 1989.0  940.0  935.0
