      I      B      A      C      T      W
      0     17      0   87.3   87.3   70.3
      1     15      1   79.9   78.9   63.9
      2      4      7   21.0   14.0   10.0
      3      7     11   55.7   44.7   37.7
      4     20     18  275.5  257.5  237.5
      5      8     20   78.8   58.8   50.8
      6     18     26  265.0  239.0  221.0
      7     20     35  405.0  370.0  350.0
      8     19     43  457.6  414.6  395.6
      9     18     48  388.2  340.2  322.2
     10      2     54   72.5   18.5   16.5
     11     18     62  490.3  428.3  410.3
     12      9     72  215.5  143.5  134.5
     13     17     77  595.6  518.6  501.6
     14     11     87  326.0  239.0  228.0
     15     10     97  288.1  191.1  181.1
     16     15    102  634.5  532.5  517.5
     17      5    103  199.7   96.7   91.7
     18     17    111  839.5  728.5  711.5
     19     12    118  469.2  351.2  339.2
     20      5    122  242.9  120.9  115.9
     21      9    130  414.5  284.5  275.5
     22      4    135  212.3   77.3   73.3
     23      7    141  352.4  211.4  204.4
     24     10    150  473.4  323.4  313.4
     25      3    156  246.1   90.1   87.1
     26     20    161 1459.1 1298.1 1278.1
     27      6    171  333.4  162.4  156.4
     28     14    177  886.9  709.9  695.9
     29      4    182  290.2  108.2  104.2
     30      1    184  233.4   49.4   48.4
     31      3    192  306.0  114.0  111.0
     32      2    197  248.2   51.2   49.2
     33     13    200  981.7  781.7  768.7
     34      2    205  258.7   53.7   51.7
     35     17    214 1475.0 1261.0 1244.0
     36      3    216  334.5  118.5  115.5
     37     15    220 1310.8 1090.8 1075.8
     38     17    222 1540.4 1318.4 1301.4
     39      3    232  360.9  128.9  125.9
     40      5    238  481.9  243.9  238.9
     41     17    239 1585.8 1346.8 1329.8
     42      9    246  784.8  538.8  529.8
     43     19    250 1755.3 1505.3 1486.3
     44      5    258  526.1  268.1  263.1
     45      4    264  420.8  156.8  152.8
     46      1    268  331.3   63.3   62.3
     47     15    275 1514.0 1239.0 1224.0
     48      8    277  695.4  418.4  410.4
     49      4    280  446.0  166.0  162.0
     50     16    282 1549.9 1267.9 1251.9
     51      1    287  355.6   68.6   67.6
     52      4    291  459.7  168.7  164.7
     53      9    292  909.0  617.0  608.0
     54      3    294  467.1  173.1  170.1
     55     14    299 1368.7 1069.7 1055.7
     56      3    300  478.7  178.7  175.7
     57     13    303 1395.0 1092.0 1079.0
     58     16    307 1592.1 1285.1 1269.1
     59      9    308  964.8  656.8  647.8
     60      4    309  502.9  193.9  189.9
     61      3    315  512.4  197.4  194.4
     62     12    318 1211.8  893.8  881.8
     63      9    320  997.5  677.5  668.5
     64     14    323 1469.6 1146.6 1132.6
     65      2    325  416.6   91.6   89.6
     66      3    327  531.4  204.4  201.4
     67     20    333 1911.0 1578.0 1558.0
     68     10    338 1046.9  708.9  698.9
     69      4    339  549.3  210.3  206.3
     70     19    340 1930.0 1590.0 1571.0
     71      5    345  698.6  353.6  348.6
     72     11    349 1329.8  980.8  969.8
     73      6    350  721.7  371.7  365.7
     74     19    351 1942.7 1591.7 1572.7
     75     11    360 1354.0  994.0  983.0
     76      3    363  590.3  227.3  224.3
     77      5    370  748.0  378.0  373.0
