PID B A C T W D
1 17 0 17 17 0 true
2 15 1 51 50 35 true
3 4 7 21 14 10 true
4 7 11 28 17 10 true
5 20 18 1769 1751 1731 true
6 8 20 36 16 8 true
7 18 26 69 43 25 true
8 20 35 1789 1754 1734 true
9 19 43 1597 1554 1535 true
10 18 48 89 41 23 true
11 2 54 71 17 15 true
12 18 62 1452 1390 1372 true
13 9 72 98 26 17 true
14 17 77 1332 1255 1238 true
15 11 87 109 22 11 true
16 10 97 119 22 12 true
17 15 102 189 87 72 true
18 5 103 124 21 16 true
19 17 111 1349 1238 1221 true
20 12 118 136 18 6 true
21 5 122 141 19 14 true
22 9 130 150 20 11 true
23 4 135 154 19 15 true
24 7 141 161 20 13 true
25 10 150 171 21 11 true
26 3 156 174 18 15 true
27 20 161 1809 1648 1628 true
28 6 171 200 29 23 true
29 14 177 219 42 28 true
30 4 182 193 11 7 true
31 1 184 194 10 9 true
32 3 192 203 11 8 true
33 2 197 205 8 6 true
34 13 200 237 37 24 true
35 2 205 221 16 14 true
36 17 214 1366 1152 1135 true
37 3 216 224 8 5 true
38 15 220 252 32 17 true
39 17 222 1383 1161 1144 true
40 3 232 255 23 20 true
41 5 238 260 22 17 true
42 17 239 1400 1161 1144 true
43 9 246 269 23 14 true
44 19 250 1616 1366 1347 true
45 5 258 278 20 15 true
46 4 264 273 9 5 true
47 1 268 279 11 10 true
48 15 275 294 19 4 true
49 8 277 317 40 32 true
50 4 280 299 19 15 true
51 16 282 1267 985 969 true
52 1 287 295 8 7 true
53 4 291 303 12 8 true
54 9 292 333 41 32 true
55 3 294 306 12 9 true
56 14 299 844 545 531 true
57 3 300 309 9 6 true
58 13 303 612 309 296 true
59 16 307 1283 976 960 true
60 9 308 347 39 30 true
61 4 309 321 12 8 true
62 3 315 324 9 6 true
63 12 318 471 153 141 true
64 9 320 371 51 42 true
65 14 323 859 536 522 true
66 2 325 335 10 8 true
67 3 327 338 11 8 true
68 20 333 1829 1496 1476 true
69 10 338 384 46 36 true
70 4 339 351 12 8 true
71 19 340 1635 1295 1276 true
72 5 345 356 11 6 true
73 11 349 431 82 71 true
74 6 350 362 12 6 true
75 19 351 1654 1303 1284 true
76 11 360 446 86 75 true
77 3 363 374 11 8 true
78 5 370 389 19 14 true
79 13 375 682 307 294 true
80 10 381 409 28 18 true
81 8 383 397 14 6 true
82 12 385 499 114 102 true
83 2 389 399 10 8 true
84 5 396 414 18 13 true
85 6 400 420 20 14 true
86 19 402 1673 1271 1252 true
87 12 412 524 112 100 true
88 4 421 435 14 10 true
89 20 428 1849 1421 1401 true
90 1 430 447 17 16 true
91 20 435 1869 1434 1414 true
92 7 442 454 12 5 true
