      I      B      A      C      T      W
      0     17      0   17.0   17.0    0.0
      1     15      1   51.0   50.0   35.0
      2      4      7   21.0   14.0   10.0
      3      7     11   28.0   17.0   10.0
      4     20     18 1769.0 1751.0 1731.0
      5      8     20   36.0   16.0    8.0
      6     18     26   69.0   43.0   25.0
      7     20     35 1789.0 1754.0 1734.0
      8     19     43 1597.0 1554.0 1535.0
      9     18     48   87.0   39.0   21.0
     10      2     54   89.0   35.0   33.0
     11     18     62 1452.0 1390.0 1372.0
     12      9     72   98.0   26.0   17.0
     13     17     77 1332.0 1255.0 1238.0
     14     11     87  124.0   37.0   26.0
     15     10     97  108.0   11.0    1.0
     16     15    102  237.0  135.0  120.0
     17      5    103  113.0   10.0    5.0
     18     17    111 1349.0 1238.0 1221.0
     19     12    118  141.0   23.0   11.0
     20      5    122  129.0    7.0    2.0
     21      9    130  161.0   31.0   22.0
     22      4    135  145.0   10.0    6.0
     23      7    141  152.0   11.0    4.0
     24     10    150  174.0   24.0   14.0
     25      3    156  164.0    8.0    5.0
     26     20    161 1809.0 1648.0 1628.0
     27      6    171  180.0    9.0    3.0
     28     14    177  194.0   17.0    3.0
     29      4    182  204.0   22.0   18.0
     30      1    184  195.0   11.0   10.0
     31      3    192  198.0    6.0    3.0
     32      2    197  200.0    3.0    1.0
     33     13    200  217.0   17.0    4.0
     34      2    205  219.0   14.0   12.0
     35     17    214 1366.0 1152.0 1135.0
     36      3    216  222.0    6.0    3.0
     37     15    220  252.0   32.0   17.0
     38     17    222 1383.0 1161.0 1144.0
     39      3    232  255.0   23.0   20.0
     40      5    238  260.0   22.0   17.0
     41     17    239 1400.0 1161.0 1144.0
     42      9    246  279.0   33.0   24.0
     43     19    250 1616.0 1366.0 1347.0
     44      5    258  265.0    7.0    2.0
     45      4    264  269.0    5.0    1.0
     46      1    268  270.0    2.0    1.0
     47     15    275 1206.0  931.0  916.0
     48      8    277  287.0   10.0    2.0
     49      4    280  292.0   12.0    8.0
     50     16    282 1267.0  985.0  969.0
     51      1    287  288.0    1.0    0.0
     52      4    291  296.0    5.0    1.0
     53      9    292  308.0   16.0    7.0
     54      3    294  299.0    5.0    2.0
     55     14    299  791.0  492.0  478.0
     56      3    300  311.0   11.0    8.0
     57     13    303  597.0  294.0  281.0
     58     16    307 1283.0  976.0  960.0
     59      9    308  327.0   19.0   10.0
     60      4    309  315.0    6.0    2.0
     61      3    315  318.0    3.0    0.0
     62     12    318  444.0  126.0  114.0
     63      9    320  341.0   21.0   12.0
     64     14    323  805.0  482.0  468.0
     65      2    325  329.0    4.0    2.0
     66      3    327  332.0    5.0    2.0
     67     20    333 1829.0 1496.0 1476.0
